종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"048770","TPC","KOSDAQ","벤처기업부","2225","35","1.60","2175","2230","2175","37887","83688008","34928029975","15697991"
"246690","TS인베스트먼트","KOSDAQ","중견기업부","1598","72","4.72","1526","1742","1501","7083235","11657039767","66281623476","41477862"
"317240","TS트릴리온","KOSDAQ","벤처기업부","200","-2","-0.99","203","205","200","1124160","226057649","23161602400","115808012"
"002900","TYM","KOSPI",,"6170","-20","-0.32","6210","6250","6140","142889","883805780","277964398520","45050956"
"024070","WISCOM","KOSPI",,"1900","6","0.32","1895","1900","1889","7033","13313076","29120232200","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","3140","-5","-0.16","3150","3150","3110","21123","66087370","51221868580","16312697"
"037270","YG PLUS","KOSPI",,"7120","-160","-2.20","7360","7400","7100","1076593","7759587235","453281343200","63663110"
"040300","YTN","KOSDAQ","중견기업부","2740","-5","-0.18","2765","2765","2730","19485","53424880","130634925200","47676980"
"051390","YW","KOSDAQ","중견기업부","3980","-25","-0.62","4015","4015","3945","7711","30620430","45194364640","11355368"
"052220","iMBC","KOSDAQ","중견기업부","3300","-45","-1.35","3325","3385","3285","83664","276795370","75900000000","23000000"
"139130","iM금융지주","KOSPI",,"13450","-170","-1.25","13800","13800","13420","206349","2781204650","2179635257700","162054666"
"079940","가비아","KOSDAQ","우량기업부","28950","2850","10.92","26500","29600","26400","152399","4365137700","391858051800","13535684"
"078890","가온그룹","KOSDAQ","중견기업부","4020","-120","-2.90","4100","4135","3965","97033","388359467","72548425440","18046872"
"000500","가온전선","KOSPI",,"70300","8000","12.84","63300","71500","62400","276973","18747043950","1162980984500","16543115"
"399720","가온칩스","KOSDAQ","우량기업부","54500","900","1.68","55000","55700","53900","68856","3777775850","632222890000","11600420"
"296520","가이아코퍼레이션","KONEX","일반기업부","933","0","0.00","0","0","0","0","0","4354318464","4667008"
"036620","감성코퍼레이션","KOSDAQ","우량기업부","5180","-170","-3.18","5340","5340","5120","384481","1998719900","468809533780","90503771"
"000860","강남제비스코","KOSPI",,"11990","-130","-1.07","12080","12080","11980","9127","109668140","155870000000","13000000"
"198440","강동씨앤엘","KOSDAQ","중견기업부","1153","-8","-0.69","1160","1160","1150","28244","32571287","70254476088","60931896"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","1425","-15","-1.04","1466","1466","1422","126261","180835219","134027162325","94054149"
"035250","강원랜드","KOSPI",,"17090","-150","-0.87","17240","17260","17070","309335","5296874390","3656243145000","213940500"
"114190","강원에너지","KOSDAQ","우량기업부","17040","2540","17.52","14370","17350","14090","17530332","288474233190","445136567520","26123038"
"094480","갤럭시아머니트리","KOSDAQ","중견기업부","9790","10","0.10","9800","9880","9650","192730","1875320995","384060114020","39229838"
"011420","갤럭시아에스엠","KOSPI",,"1994","-16","-0.80","2000","2015","1988","147905","295402516","54933990136","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","2930","-20","-0.68","2950","2965","2915","66967","196001852","79050239720","26979604"
"053950","경남제약","KOSDAQ","중견기업부","753","167","28.50","586","759","581","13094471","9218914218","58844960574","78147358"
"002100","경농","KOSPI",,"9720","-70","-0.72","9810","9830","9670","14395","140061540","189759429000","19522575"
"009450","경동나비엔","KOSPI",,"71900","-300","-0.42","72200","72200","71400","28267","2026668650","1047481764800","14568592"
"267290","경동도시가스","KOSPI",,"20950","0","0.00","20900","21100","20800","38424","801508050","123508755700","5895406"
"012320","경동인베스트","KOSPI",,"55600","-900","-1.59","57400","57400","55500","6996","391146050","131495278800","2365023"
